ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
KVL,"Kivalina, AK",KVL,5
PDB,"Pedro Bay, AK",PDB,8
UNK,"Unalakleet, AK",UNK,6
DOV,"Dover, DE",DOV,3
ICT,"Wichita, KS",ICT,5
HGZ,"Hogatza, AK",HGZ,7
BNA,"Nashville, TN",BNA,10
HOM,"Homer, AK",HOM,2
LBB,"Lubbock, TX",LBB,3
PVY,"Pope Vanoy, AK",PVY,5
PHL,"Philadelphia, PA",PHL,11
OTZ,"Kotzebue, AK",OTZ,4
PDX,"Portland, OR",PDX,10
SIT,"Sitka, AK",SIT,1
OKC,"Oklahoma City, OK",OKC,2
BED,"Bedford, MA",BED,12
FWA,"Fort Wayne, IN",FWA,12
ILI,"Iliamna, AK",ILI,12
ANC,"Anchorage, AK",ANC,4
HUS,"Hughes, AK",HUS,11
JNU,"Juneau, AK",JNU,3
HPN,"White Plains, NY",HPN,4
ROA,"Roanoke, VA",ROA,5
SHV,"Shreveport, LA",SHV,5
EAT,"Wenatchee, WA",EAT,1
BWI,"Baltimore, MD",BWI,3
MYR,"Myrtle Beach, SC",MYR,4
ZXH,"Chomondely Sound, AK",ZXH,9
DFW,"Dallas/Fort Worth, TX",DFW,10
PDX,"Portland, OR",PDX,9
TKJ,"Tok, AK",TKJ,6
JFK,"New York, NY",JFK,12
CRW,"Charleston/Dunbar, WV",CRW,12
BRW,"Barrow, AK",BRW,9
LAX,"Los Angeles, CA",LAX,3
EWR,"Newark, NJ",EWR,12
JFK,"New York, NY",JFK,1
MLS,"Miles City, MT",MLS,5
OTZ,"Kotzebue, AK",OTZ,9
FBK,"Fairbanks, AK",FBK,7
CAE,"Columbia, SC",CAE,8
CDB,"Cold Bay, AK",CDB,8
EAA,"Eagle, AK",EAA,7
ACY,"Atlantic City, NJ",ACY,7
BRW,"Barrow, AK",BRW,11
SCC,"Deadhorse, AK",SCC,11
WLK,"Selawik, AK",WLK,10
MLS,"Miles City, MT",MLS,12
SUU,"Fairfield, CA",SUU,10
PSM,"Portsmouth, NH",PSM,2
ATK,"Atqasuk, AK",ATK,2
BNA,"Nashville, TN",BNA,4
ATL,"Atlanta, GA",ATL,10
SGY,"Skagway, AK",SGY,8
BFM,"Mobile, AL",BFM,11
SBN,"South Bend, IN",SBN,3
DFW,"Dallas/Fort Worth, TX",DFW,9
FYU,"Fort Yukon, AK",FYU,9
FYU,"Fort Yukon, AK",FYU,11
ORD,"Chicago, IL",ORD,5
PSM,"Portsmouth, NH",PSM,7
RSW,"Fort Myers, FL",RSW,12
SLQ,"Sleetmute, AK",SLQ,2
GCN,"Grand Canyon, AZ",GCN,10
WTK,"Noatak, AK",WTK,5
BHM,"Birmingham, AL",BHM,6
ILN,"Wilmington, OH",ILN,3
OTZ,"Kotzebue, AK",OTZ,2
IAD,"Washington, DC",IAD,8
VAK,"Chevak, AK",VAK,8
KDK,"Kodiak, AK",KDK,4
ANC,"Anchorage, AK",ANC,8
MSP,"Minneapolis, MN",MSP,7
LSR,"Lost River, AK",LSR,7
MSP,"Minneapolis, MN",MSP,9
PIE,"St. Petersburg, FL",PIE,8
BOS,"Boston, MA",BOS,10
WNA,"Napakiak, AK",WNA,12
SHH,"Shishmaref, AK",SHH,12
SAN,"San Diego, CA",SAN,12
DFW,"Dallas/Fort Worth, TX",DFW,3
WRG,"Wrangell, AK",WRG,10
MIA,"Miami, FL",MIA,5
ORD,"Chicago, IL",ORD,3
ANC,"Anchorage, AK",ANC,5
TLA,"Teller, AK",TLA,3
AKN,"King Salmon, AK",AKN,8
DUT,"Unalaska, AK",DUT,8
DLG,"Dillingham, AK",DLG,11
IAD,"Washington, DC",IAD,12
UNK,"Unalakleet, AK",UNK,8
KUK,"Kasigluk, AK",KUK,8
GEG,"Spokane, WA",GEG,1
JNU,"Juneau, AK",JNU,5
GAL,"Galena, AK",GAL,12
FWA,"Fort Wayne, IN",FWA,6
MLS,"Miles City, MT",MLS,2
BET,"Bethel, AK",BET,1
FWA,"Fort Wayne, IN",FWA,3
RSW,"Fort Myers, FL",RSW,2
ORD,"Chicago, IL",ORD,2
MYR,"Myrtle Beach, SC",MYR,9
SFO,"San Francisco, CA",SFO,9
DFW,"Dallas/Fort Worth, TX",DFW,5
JAN,"Jackson/Vicksburg, MS",JAN,5
ANI,"Aniak, AK",ANI,6
SJU,"San Juan, PR",SJU,6
CAE,"Columbia, SC",CAE,10
GKN,"Gulkana, AK",GKN,8
WFB,"Ketchikan, AK",WFB,7
NNK,"Naknek, AK",NNK,7
CAE,"Columbia, SC",CAE,9
PHO,"Point Hope, AK",PHO,10
VGT,"Las Vegas, NV",VGT,12
ADS,"Dallas, TX",ADS,11
KQA,"Akutan, AK",KQA,10
SNP,"St. Paul, AK",SNP,10
HOT,"Hot Springs, AR",HOT,12
VGT,"Las Vegas, NV",VGT,3
PGA,"Page, AZ",PGA,4
DAY,"Dayton, OH",DAY,5
OTZ,"Kotzebue, AK",OTZ,7
FYU,"Fort Yukon, AK",FYU,7
YKM,"Yakima, WA",YKM,8
HII,"Lake Havasu City, AZ",HII,12
IND,"Indianapolis, IN",IND,11
DAL,"Dallas, TX",DAL,12
LKE,"Seattle, WA",LKE,6
DLG,"Dillingham, AK",DLG,6
JFK,"New York, NY",JFK,8
ICT,"Wichita, KS",ICT,9
CXF,"Coldfoot, AK",CXF,9
CDB,"Cold Bay, AK",CDB,11
OME,"Nome, AK",OME,12
GCN,"Grand Canyon, AZ",GCN,7
NUI,"Nuiqsut, AK",NUI,1
IAH,"Houston, TX",IAH,1
OME,"Nome, AK",OME,3
SWF,"Newburgh/Poughkeepsie, NY",SWF,1
WFB,"Ketchikan, AK",WFB,4
TPA,"Tampa, FL",TPA,1
FAI,"Fairbanks, AK",FAI,4
VEE,"Venetie, AK",VEE,4
UNK,"Unalakleet, AK",UNK,2
PTU,"Platinum, AK",PTU,6
TYS,"Knoxville, TN",TYS,8
ANI,"Aniak, AK",ANI,11
CDB,"Cold Bay, AK",CDB,12
LAX,"Los Angeles, CA",LAX,12
