ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
DET,"Detroit, MI",YQG,2
CJS,"Ciudad Juarez, Mexico",ELP,11
ELP,"El Paso, TX",CJS,5
CJS,"Ciudad Juarez, Mexico",ELP,3
CJS,"Ciudad Juarez, Mexico",ELP,9
CJS,"Ciudad Juarez, Mexico",ELP,5
ELP,"El Paso, TX",CJS,4
CJS,"Ciudad Juarez, Mexico",ELP,4
CJS,"Ciudad Juarez, Mexico",ELP,1
CJS,"Ciudad Juarez, Mexico",ELP,6
ELP,"El Paso, TX",CJS,3
CJS,"Ciudad Juarez, Mexico",ELP,7
ELP,"El Paso, TX",CJS,8
CJS,"Ciudad Juarez, Mexico",ELP,2
ELP,"El Paso, TX",CJS,2
CJS,"Ciudad Juarez, Mexico",ELP,8
ELP,"El Paso, TX",CJS,1
CJS,"Ciudad Juarez, Mexico",ELP,10
RCE,"Roche Harbor, WA",YYJ,6
FRD,"Friday Harbor, WA",YWH,10
FRD,"Friday Harbor, WA",YWH,5
FRD,"Friday Harbor, WA",YWH,9
YWH,"Victoria, Canada",FRD,6
FRD,"Friday Harbor, WA",YWH,8
FRD,"Friday Harbor, WA",YYJ,9
DTW,"Detroit, MI",YQG,2
YQG,"Windsor, Canada",DTW,4
YYJ,"Victoria, Canada",FRD,4
YQG,"Windsor, Canada",DTW,5
YQG,"Windsor, Canada",DTW,10
YQG,"Windsor, Canada",DTW,8
FRD,"Friday Harbor, WA",YYJ,4
FRD,"Friday Harbor, WA",YYJ,6
DTW,"Detroit, MI",YQG,3
YQG,"Windsor, Canada",DTW,7
FRD,"Friday Harbor, WA",YYJ,12
YQG,"Windsor, Canada",DTW,2
YYJ,"Victoria, Canada",FRD,3
YYJ,"Victoria, Canada",FRD,9
DTW,"Detroit, MI",YQG,5
DTW,"Detroit, MI",YQG,9
DTW,"Detroit, MI",YQG,4
DTW,"Detroit, MI",YQG,8
LPS,"Lopez Island, WA",YWH,4
LPS,"Lopez Island, WA",YWH,8
CLM,"Port Angeles, WA",YWH,10
WSX,"Westsound, WA",YYJ,3
YYJ,"Victoria, Canada",WSX,9
LPS,"Lopez Island, WA",YYJ,2
WSX,"Westsound, WA",YYJ,2
LPS,"Lopez Island, WA",YYJ,1
RSJ,"Rosario, WA",YYJ,8
RSJ,"Rosario, WA",YYJ,2
YYJ,"Victoria, Canada",RSJ,10
YCM,"St. Catharines, Canada",BUF,8
YQG,"Windsor, Canada",YIP,5
YIP,"Detroit, MI",YQG,12
YWH,"Victoria, Canada",RSJ,9
YQG,"Windsor, Canada",YIP,9
YQG,"Windsor, Canada",YIP,6
EIS,"Road Town, British Virgin Islands",STT,12
RSJ,"Rosario, WA",YWH,10
YIP,"Detroit, MI",YQG,6
YIP,"Detroit, MI",YQG,10
RSJ,"Rosario, WA",YWH,6
EIS,"Road Town, British Virgin Islands",STT,11
RSJ,"Rosario, WA",YWH,5
YQG,"Windsor, Canada",YIP,4
YQG,"Windsor, Canada",YIP,8
YIP,"Detroit, MI",YQG,8
YQG,"Windsor, Canada",YIP,1
YIP,"Detroit, MI",YQG,2
YWH,"Victoria, Canada",WSX,5
YQG,"Windsor, Canada",YIP,3
YQG,"Windsor, Canada",YIP,7
YQG,"Windsor, Canada",YIP,10
STT,"Charlotte Amalie, VI",EIS,1
YIP,"Detroit, MI",YQG,7
YIP,"Detroit, MI",YQG,5
YIP,"Detroit, MI",YQG,4
YIP,"Detroit, MI",YQG,3
WSX,"Westsound, WA",YWH,6
STT,"Charlotte Amalie, VI",EIS,12
